,# Days with AQI ,# Days Good,# Days Moderate,# Days Unhealthy for Sensitive Groups,# Days Unhealthy,# Days Very Unhealthy,# days Hazerdous,AQI Max,AQI 90th %ile,AQI Median,# Days CO,# Days NO2,# Days 03,# Days PM2.5,# Days PM10,17
,365,245,119,1,0,0,0,106,61,43,0,0,108,257,0,0
,365,254,111,0,0,0,0,95,58,43,0,12,124,229,0,0
,365,153,202,9,1,0,0,153,74,53,0,9,107,249,0,0
,362,222,140,0,0,0,0,98,61,44,0,0,79,283,0,0
,358,329,29,0,0,0,0,100,50,38,0,0,358,0,0,322
,361,249,112,0,0,0,0,67,56,44,0,0,95,266,0,0
,363,363,0,0,0,0,0,28,7,3,0,363,0,0,0,0
,365,332,33,0,0,0,0,74,49,34,0,89,213,63,0,0
,364,293,71,0,0,0,0,87,54,40,0,0,161,203,0,0
,116,97,19,0,0,0,0,60,52,29,0,0,0,116,0,0
,365,210,154,1,0,0,0,112,59,47,0,5,130,230,0,0
,365,255,110,0,0,0,0,80,58,42,1,1,119,244,0,0
,365,277,87,1,0,0,0,115,55,42,0,8,133,224,0,0
,365,153,208,4,0,0,0,128,67,52,0,4,125,236,0,0
,334,234,100,0,0,0,0,89,58,43,0,0,112,222,0,0
,361,324,36,1,0,0,0,101,51,39,0,0,361,0,0,323
,364,254,104,3,3,0,0,168,64,44,0,0,123,241,0,0
,365,322,40,2,1,0,0,168,53,37,0,91,216,58,0,0
,363,271,90,2,0,0,0,118,64,43,0,0,157,206,0,0
,119,93,24,2,0,0,0,135,58,34,0,0,0,119,0,0
,365,204,156,2,3,0,0,159,65,48,0,13,118,234,0,0
,365,248,113,3,1,0,0,158,62,43,0,2,124,239,0,0
,365,229,133,2,1,0,0,174,64,44,0,6,116,243,0,0
,365,158,187,16,3,1,0,222,84,52,0,5,152,207,1,0
,363,240,114,5,4,0,0,185,66,44,0,0,118,245,0,0
,202,180,22,0,0,0,0,80,51,42,0,0,202,0,0,324
,272,207,65,0,0,0,0,85,55,43,0,0,119,153,0,0
,274,207,67,0,0,0,0,83,56,44,0,8,132,134,0,0
,209,154,55,0,0,0,0,84,58,43,0,0,97,112,0,0
,90,75,15,0,0,0,0,61,53,29,0,0,0,90,0,0
,275,191,83,1,0,0,0,112,57,44,1,7,137,130,0,0
,275,217,58,0,0,0,0,68,54,41,1,3,133,138,0,0
,275,200,75,0,0,0,0,90,57,43,1,4,128,142,0,0
,305,175,122,8,0,0,0,129,77,48,0,8,189,108,0,0
,274,205,68,1,0,0,0,102,57,42,0,0,124,150,0,0
,366,194,170,2,0,0,0,114,65,49,0,0,0,366,0,420
,240,237,3,0,0,0,0,64,44,32,0,0,240,0,0,0
